Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,Supported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,SnowparkVersion,CellId,ExecutionId,ParametersInfo,Technology
pyspark.sql.types.StructField,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,StructField,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.StructType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,StructType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types.TimestampType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,TimestampType,Class,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql.types import StructType, StructField, DoubleType, IntegerType, TimestampType, StringType, DateType",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,4,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pyspark,Module,11,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Rename,import pyspark,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.context.SparkContext,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,SparkContext,Class,14,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Transformation,from pyspark import SparkContext,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.conf.SparkConf,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,SparkConf,Class,15,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,from pyspark.conf import SparkConf,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.dataframe.DataFrame,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,DataFrame,Class,16,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"from pyspark.sql import DataFrame, SparkSession",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.session.SparkSession,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,SparkSession,Class,16,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Rename,"from pyspark.sql import DataFrame, SparkSession",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,F,Module,17,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,from pyspark.sql import functions as F,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.types,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,T,Module,18,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,from pyspark.sql import types as T,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.window.Window,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,Window,Class,19,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,from pyspark.sql.window import Window,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,25,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Rename,pyspark.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.version.__version__,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Variable,25,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotDefined,pyspark.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.conf.SparkConf,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Class,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.conf.SparkConf.setMaster,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,9,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.setAppName,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,10,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,11,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,12,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,13,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,14,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,15,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,16,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,17,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,18,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pyspark.conf.SparkConf.set,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,22,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotSupported,"SparkConf().setMaster(""yarn"").setAppName(""data-cerdas-rerun"").set(""spark.dynamicAllocation.maxExecutors"", ""50"").set(""spark.dynamicAllocation.minExecutors"", ""1"").set(""spark.executor.cores"", ""12"").set(""spark.executor.memory"", ""64g"").set(""spark.sql.shuffle.partitions"", ""7000"").set(""spark.yarn.queue"", ""root.pnt.hui_pnt_bpsint"").set(""spark.driver.maxResultSize"", ""8g"").set(""spark.yarn.appMasterEnv.PYSPARK_PYTHON"", ""./env/bin/python"", ).set(""spark.yarn.dist.archives"", ""hdfs://nsdiscovery/warehouse/tablespace/external/hive/pnt_bps_int.db/envs/mobility_310.tar.gz#env"")",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,6,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pyspark.context.SparkContext,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Class,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Transformation,SparkContext.getOrCreate(conf = conf),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,7,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.context.SparkContext.getOrCreate,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Transformation,SparkContext.getOrCreate(conf = conf),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,7,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""conf"",""ParamType"":""SparkConf""}]",Python
pyspark.sql.session.SparkSession,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Class,3,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Rename,SparkSession(sc),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,7,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""pyspark.context.SparkContext"",""ParamType"":""SparkContext""}]",Python
pyspark.sql.functions,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,4,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"F.substring('calling_date', 1, 7)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions.substring,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,4,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"F.substring('calling_date', 1, 7)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""int"",""ParamType"":""int""},{""ParamName"":""int"",""ParamType"":""int""}]",Python
pyspark.sql.column.Column.cast,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,f.col('imsi').cast(StringType()),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""pyspark.sql.types.StringType"",""ParamType"":""StringType""}]",Python
pyspark.sql.functions,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,f.col('imsi').cast(StringType()),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.functions.col,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,f.col('imsi').cast(StringType()),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pyspark.sql.types.StringType,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Class,8,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,StringType(),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,,Python
pyspark.sql.column.Column.cast,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,10,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,F.col('latitude').cast('double'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,1.27.000,10,a1cbc006-17c0-4db1-a282-bccf0e51f12f,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
