h3_10,msisdn_encrypted,operator,country,service,datetime,longitude,latitude,idkab,nmkab,event_year,event_month,month,idprov
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 01:04:43,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 01:09:02,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 01:09:02,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 01:31:30,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 01:31:30,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 01:35:24,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 01:35:24,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 01:52:58,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 01:52:58,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 02:00:50,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107988f7fff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 02:04:15,106.845001,-6.18707,3173,JAKARTA PUSAT,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 02:21:40,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107aeb4ffff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 03:02:48,106.84686,-6.28596,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107aeb4ffff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 03:02:48,106.84686,-6.28596,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c12b6c70ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 03:03:39,106.8909,-6.14356,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 03:03:52,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 03:03:52,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c12b6c70ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 04:03:39,106.8909,-6.14356,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 04:18:18,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 04:30:03,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 04:30:03,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 04:32:05,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 04:32:05,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 04:42:01,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac0e7fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 04:42:01,106.845892,-6.295703,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c106f6b8ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 04:46:11,106.684608,-6.172383,3671,TANGERANG,2021,9,2021-09-01,36
8a8c107884a7fff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 05:03:39,106.81505,-6.22132,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 05:20:06,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c106f6b8ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 05:46:11,106.684608,-6.172383,3671,TANGERANG,2021,9,2021-09-01,36
8a8c1079b32ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 06:03:39,106.82123,-6.16944,3173,JAKARTA PUSAT,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 06:15:50,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 06:38:53,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 06:48:40,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1078ec6ffff,8799d30489f9b19e880d0908fb5d1e0ae85fc3c655f09358a7f750ba3ee4bf80,U Mobile Sdn Bhd,Malaysia,OUTGOING CALL,2021-09-01 06:48:51,106.8341,-6.22637,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 06:57:33,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 06:57:33,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c106b5417fff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 07:03:26,106.81805,-6.14295,3174,JAKARTA BARAT,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 07:04:28,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 07:06:06,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10793cc7fff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 07:10:33,106.89357,-6.16798,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 07:59:19,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 07:59:19,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c106f6b8ffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 08:00:03,106.684608,-6.172383,3671,TANGERANG,2021,9,2021-09-01,36
8a8c106a64dffff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 08:03:26,106.808,-6.16219,3173,JAKARTA PUSAT,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:08:12,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:08:12,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:12:33,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:12:33,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10793cc7fff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 08:15:06,106.89357,-6.16798,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:18:18,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:18:18,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:25:59,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:25:59,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:29:11,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:29:11,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:31:21,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:31:21,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 08:33:38,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 08:33:55,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:36:52,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:36:52,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 08:37:32,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 08:42:12,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:47:04,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:47:04,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:49:21,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:49:21,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10793cc7fff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 08:49:37,106.89357,-6.16798,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c1079232ffff,e09a14d8f6f630550fbf26bd23738416a0818b6935b071a57bb66305ef03a2e1,"T-Mobile USA, Inc",United States of America,DATA,2021-09-01 08:50:36,106.90151,-6.16632,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 08:55:31,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 08:55:31,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c106a18e7fff,e99ad9b054aeb285dbc8d922e4ea774fafca970268ba611624c26ef266c15688,Vodafone (Libertel BV),Netherlands,DATA,2021-09-01 09:00:03,106.76428,-6.19069,3174,JAKARTA BARAT,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 09:02:36,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107ac667fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 09:02:36,106.84195,-6.29135,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 09:05:03,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 09:05:03,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 09:08:52,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 09:08:52,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 09:11:01,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 09:11:01,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 09:14:39,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c10792607fff,cfb5232fc2842d143148c1147fbdd68f08d352e1e374d4b20f880add9e60ba42,Vodafone Hutchison Australia,Australia,DATA,2021-09-01 09:18:39,106.90512,-6.15621,3175,JAKARTA UTARA,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Mobile Pte Ltd,Singapore,DATA,2021-09-01 09:22:50,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
8a8c107a8d77fff,1234de4a93f4bd4a2e37d9959a0dea03040dfa33e96b902e7f69aa8cf41b5c03,StarHub Pte Ltd,Singapore,DATA,2021-09-01 09:22:50,106.84086,-6.28522,3171,JAKARTA SELATAN,2021,9,2021-09-01,31
